coordinates,footprint,product_name,success,error,part,filename,acquisition_date,end_date,satellite,swath_mode,polarization,orbit_num,data_take
"[[[-88.2857, 40.6066], [-87.7643, 42.4446], [-88.7124, 42.5552], [-89.2072, 40.715], [-88.2857, 40.6066]]]",,S1A_S1_RAW__0SHH_2023-05-08T12:11:42_2023-05-08T12:12:13_048442_05D3C0,False,,PT1,s1a-s1-raw-s-hh-20230508t121142-20230508t121213-048442-05d3c0.zarr,2023-05-08T12:11:42,2023-05-08T12:12:13,S1A,S1,HH,048442,05d3c0
"[[[-88.2848, 40.6066], [-87.7634, 42.4446], [-88.7115, 42.5553], [-89.2064, 40.7151], [-88.2848, 40.6066]]]",,S1A_S1_RAW__0SHH_2023-07-31T12:11:47_2023-07-31T12:12:17_049667_05F8F1,False,,PT1,s1a-s1-raw-s-hh-20230731t121147-20230731t121217-049667-05f8f1.zarr,2023-07-31T12:11:47,2023-07-31T12:12:17,S1A,S1,HH,049667,05f8f1
"[[[-88.2837, 40.6067], [-87.7622, 42.4447], [-88.7104, 42.5553], [-89.2053, 40.7152], [-88.2837, 40.6067]]]",,S1A_S1_RAW__0SHH_2024-01-03T12:11:47_2024-01-03T12:12:17_051942_0646AC,False,,PT1,s1a-s1-raw-s-hh-20240103t121147-20240103t121217-051942-0646ac.zarr,2024-01-03T12:11:47,2024-01-03T12:12:17,S1A,S1,HH,051942,0646ac
"[[[46.0918, -12.8701], [46.8097, -12.7595], [46.593, -11.8203], [45.8777, -11.93], [46.0918, -12.8701]]]",,S1A_S1_RAW__0SHH_2024-01-30T15:12:39_2024-01-30T15:12:54_052337_06541B,False,,PT1,s1a-s1-raw-s-hh-20240130t151239-20240130t151254-052337-06541b.zarr,2024-01-30T15:12:39,2024-01-30T15:12:54,S1A,S1,HH,052337,06541b
"[[[46.0902, -12.8699], [46.8082, -12.7593], [46.5915, -11.8201], [45.8762, -11.9298], [46.0902, -12.8699]]]",,S1A_S1_RAW__0SHH_2024-05-17T15:12:40_2024-05-17T15:12:55_053912_068D91,False,,PT1,s1a-s1-raw-s-hh-20240517t151240-20240517t151255-053912-068d91.zarr,2024-05-17T15:12:40,2024-05-17T15:12:55,S1A,S1,HH,053912,068d91
"[[[9.7135, 29.5814], [10.0801, 31.1258], [9.263, 31.2265], [8.9093, 29.6813], [9.7135, 29.5814]]]",,S1A_S1_RAW__0SHH_2024-06-26T05:31:41_2024-06-26T05:32:07_054490_06A193,False,,PT1,s1a-s1-raw-s-hh-20240626t053141-20240626t053207-054490-06a193.zarr,2024-06-26T05:31:41,2024-06-26T05:32:07,S1A,S1,HH,054490,06a193
"[[[9.7143, 29.5808], [10.0811, 31.1252], [9.264, 31.2259], [8.9102, 29.6808], [9.7143, 29.5808]]]",,S1A_S1_RAW__0SHH_2024-08-25T05:31:15_2024-08-25T05:31:48_055365_06C086,False,,PT1,s1a-s1-raw-s-hh-20240825t053115-20240825t053148-055365-06c086.zarr,2024-08-25T05:31:15,2024-08-25T05:31:48,S1A,S1,HH,055365,06c086
"[[[-88.2841, 40.6063], [-87.7626, 42.4443], [-88.7107, 42.5549], [-89.2055, 40.7147], [-88.2841, 40.6063]]]",,S1A_S1_RAW__0SHH_2024-08-30T12:11:44_2024-08-30T12:12:15_055442_06C352,False,,PT1,s1a-s1-raw-s-hh-20240830t121144-20240830t121215-055442-06c352.zarr,2024-08-30T12:11:44,2024-08-30T12:12:15,S1A,S1,HH,055442,06c352
"[[[-88.2839, 40.6056], [-87.7625, 42.4435], [-88.7107, 42.5542], [-89.2055, 40.7141], [-88.2839, 40.6056]]]",,S1A_S1_RAW__0SHH_2024-10-05T12:11:46_2024-10-05T12:12:16_055967_06D7FB,False,,PT1,s1a-s1-raw-s-hh-20241005t121146-20241005t121216-055967-06d7fb.zarr,2024-10-05T12:11:46,2024-10-05T12:12:16,S1A,S1,HH,055967,06d7fb
"[[[46.0899, -12.8694], [46.8078, -12.7588], [46.591, -11.8196], [45.8758, -11.9293], [46.0899, -12.8694]]]",,S1A_S1_RAW__0SHH_2024-10-08T15:12:39_2024-10-08T15:12:55_056012_06D9C9,False,,PT1,s1a-s1-raw-s-hh-20241008t151239-20241008t151255-056012-06d9c9.zarr,2024-10-08T15:12:39,2024-10-08T15:12:55,S1A,S1,HH,056012,06d9c9
"[[[46.0925, -12.8699], [46.8104, -12.7593], [46.5937, -11.8201], [45.8784, -11.9298], [46.0925, -12.8699]]]",,S1A_S1_RAW__0SHH_2024-11-25T15:12:37_2024-11-25T15:12:53_056712_06F59C,False,,PT1,s1a-s1-raw-s-hh-20241125t151237-20241125t151253-056712-06f59c.zarr,2024-11-25T15:12:37,2024-11-25T15:12:53,S1A,S1,HH,056712,06f59c
"[[[46.0924, -12.8698], [46.8104, -12.7593], [46.5936, -11.8201], [45.8784, -11.9297], [46.0924, -12.8698]]]",,S1A_S1_RAW__0SHH_2024-12-19T15:12:35_2024-12-19T15:12:51_057062_07037D,False,,PT1,s1a-s1-raw-s-hh-20241219t151235-20241219t151251-057062-07037d.zarr,2024-12-19T15:12:35,2024-12-19T15:12:51,S1A,S1,HH,057062,07037d
