coordinates;footprint;product_name;success;error;part;filename;acquisition_date;end_date;satellite;swath_mode;polarization;orbit_num;data_take;latitude;longitude;year;scene_type;geo_cluster
[[[-88.2857, 40.6066], [-87.7643, 42.4446], [-88.7124, 42.5552], [-89.2072, 40.715], [-88.2857, 40.6066]]];;S1A_S1_RAW__0SHH_2023-05-08T12:11:42_2023-05-08T12:12:13_048442_05D3C0;False;;PT1;s1a-s1-raw-s-hh-20230508t121142-20230508t121213-048442-05d3c0.zarr;2023-05-08T12:11:42;2023-05-08T12:12:13;S1A;S1;hh;48442;05d3c0;41.3856;-88.45106000000001;2023;land;land_8
[[[-88.2848, 40.6066], [-87.7634, 42.4446], [-88.7115, 42.5553], [-89.2064, 40.7151], [-88.2848, 40.6066]]];;S1A_S1_RAW__0SHH_2023-07-31T12:11:47_2023-07-31T12:12:17_049667_05F8F1;False;;PT1;s1a-s1-raw-s-hh-20230731t121147-20230731t121217-049667-05f8f1.zarr;2023-07-31T12:11:47;2023-07-31T12:12:17;S1A;S1;hh;49667;05f8f1;41.38564;-88.45018;2023;land;land_8
[[[-88.2837, 40.6067], [-87.7622, 42.4447], [-88.7104, 42.5553], [-89.2053, 40.7152], [-88.2837, 40.6067]]];;S1A_S1_RAW__0SHH_2024-01-03T12:11:47_2024-01-03T12:12:17_051942_0646AC;False;;PT1;s1a-s1-raw-s-hh-20240103t121147-20240103t121217-051942-0646ac.zarr;2024-01-03T12:11:47;2024-01-03T12:12:17;S1A;S1;hh;51942;0646ac;41.38572;-88.44906;2024;land;land_8
[[[-88.2841, 40.6063], [-87.7626, 42.4443], [-88.7107, 42.5549], [-89.2055, 40.7147], [-88.2841, 40.6063]]];;S1A_S1_RAW__0SHH_2024-08-30T12:11:44_2024-08-30T12:12:15_055442_06C352;False;;PT1;s1a-s1-raw-s-hh-20240830t121144-20240830t121215-055442-06c352.zarr;2024-08-30T12:11:44;2024-08-30T12:12:15;S1A;S1;hh;55442;06c352;41.3853;-88.4494;2024;land;land_8
[[[-88.2851, 40.6066], [-87.7638, 42.4446], [-88.712, 42.5553], [-89.2067, 40.7151], [-88.2851, 40.6066]]];;S1A_S1_RAW__0SHH_2025-01-09T12:11:41_2025-01-09T12:12:11_057367_070F7E;False;;PT1;s1a-s1-raw-s-hh-20250109t121141-20250109t121211-057367-070f7e.zarr;2025-01-09T12:11:41;2025-01-09T12:12:11;S1A;S1;hh;57367;070f7e;41.38564;-88.45054;2025;land;land_8
[[[-88.2857, 40.6066], [-87.7643, 42.4446], [-88.7124, 42.5552], [-89.2072, 40.715], [-88.2857, 40.6066]]];;S1A_S1_RAW__0SHV_2023-05-08T12:11:42_2023-05-08T12:12:13_048442_05D3C0;False;;PT1;s1a-s1-raw-s-hv-20230508t121142-20230508t121213-048442-05d3c0.zarr;2023-05-08T12:11:42;2023-05-08T12:12:13;S1A;S1;hv;48442;05d3c0;41.3856;-88.45106000000001;2023;land;land_8
[[[-88.2848, 40.6066], [-87.7634, 42.4446], [-88.7115, 42.5553], [-89.2064, 40.7151], [-88.2848, 40.6066]]];;S1A_S1_RAW__0SHV_2023-07-31T12:11:47_2023-07-31T12:12:17_049667_05F8F1;False;;PT1;s1a-s1-raw-s-hv-20230731t121147-20230731t121217-049667-05f8f1.zarr;2023-07-31T12:11:47;2023-07-31T12:12:17;S1A;S1;hv;49667;05f8f1;41.38564;-88.45018;2023;land;land_8
[[[-88.2837, 40.6067], [-87.7622, 42.4447], [-88.7104, 42.5553], [-89.2053, 40.7152], [-88.2837, 40.6067]]];;S1A_S1_RAW__0SHV_2024-01-03T12:11:47_2024-01-03T12:12:17_051942_0646AC;False;;PT1;s1a-s1-raw-s-hv-20240103t121147-20240103t121217-051942-0646ac.zarr;2024-01-03T12:11:47;2024-01-03T12:12:17;S1A;S1;hv;51942;0646ac;41.38572;-88.44906;2024;land;land_8
[[[-88.2841, 40.6063], [-87.7626, 42.4443], [-88.7107, 42.5549], [-89.2055, 40.7147], [-88.2841, 40.6063]]];;S1A_S1_RAW__0SHV_2024-08-30T12:11:44_2024-08-30T12:12:15_055442_06C352;False;;PT1;s1a-s1-raw-s-hv-20240830t121144-20240830t121215-055442-06c352.zarr;2024-08-30T12:11:44;2024-08-30T12:12:15;S1A;S1;hv;55442;06c352;41.3853;-88.4494;2024;land;land_8
[[[-88.2851, 40.6066], [-87.7638, 42.4446], [-88.712, 42.5553], [-89.2067, 40.7151], [-88.2851, 40.6066]]];;S1A_S1_RAW__0SHV_2025-01-09T12:11:41_2025-01-09T12:12:11_057367_070F7E;False;;PT1;s1a-s1-raw-s-hv-20250109t121141-20250109t121211-057367-070f7e.zarr;2025-01-09T12:11:41;2025-01-09T12:12:11;S1A;S1;hv;57367;070f7e;41.38564;-88.45054;2025;land;land_8
